education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,3-5年,股票期权公司氛围好领导nice移动互联网免费零食年度旅游股票期权公司氛围好领导nice移动互联网免费零食年度旅游股票期权公司氛围好领导nice移动互联网免费零食年度旅游,12,18K,ORACLE数据库工程师,北京,"1、负责ORACLE及一种非ORACLE数据库的运维与优化；2、负责项目机会挖掘与售前技术支持；3、负责项目总结与项目过程材料编制及汇报；学历：本科学历及以上专业：计算机或信息技术类工作经验：5年以上工作经验,技能要求：1.精通ORACLE数据库体系结构2.精通ORACLE RAC数据库的技术，具有2年以上实战运维经验3.精通AIX、Linux操作系统4.具有较强的SQL语句编写与优化能力5.具有3年以上大型数据中心ORACLE数据库运维管理经验6.具备MySQL、PostgreSQL、MongoDB中的其中一种数据库运行维护管理经验"
本科,5-10年,带薪年假扁平管理美女如云领导nice移动互联网移动广告公司氛围好年度旅游带薪年假扁平管理美女如云领导nice移动互联网移动广告公司氛围好年度旅游带薪年假扁平管理美女如云领导nice移动互联网移动广告公司氛围好年度旅游,25,50K,大数据架构师,北京,1. 负责大数据产品线的架构设计和开发；2. 理解系统的业务需求，制定系统的整体技术框架、业务框架和系统架构；3. 负责给产品开发、实施、运维团队提供技术保障；4. 负责对系统的重用、扩展、安全、性能、伸缩性、简洁等做系统级的把握；5. 对系统框架相关技术和业务进行培训，指导开发人员开发，解决系统开发、运行中出现的各种问题。1. 对各种架构模型有深入理解，了解模型的优缺点；2. 对技术由衷热爱，对新技术、新方向有敏感的前瞻性；3. 有扎实的表达能力，对业务模型、技术模型进行分析、评估；4. 对大数据技术有钻研热情，乐于分享；5. 在开源社群活跃并有积极贡献者优先；6. 有百度、阿里、腾讯、Google等互联网公司同类数据产品架构经验者优先。
硕士,3-5年,五险一金定期体检年终奖股票期权带薪年假员工旅游通讯补贴交通补助节日福利零食下午茶弹性工时五险一金定期体检年终奖股票期权带薪年假员工旅游通讯补贴交通补助节日福利零食下午茶弹性工时年度旅游带薪年假五险一金绩效奖金年底双薪地铁周边扁平管理弹性工作,35,50K,数据科学家,北京,--负责数据挖掘，模型构建; 负责算法开发，建立内容预测模型;-- 整合利用数据资产，通过用户画像、知识图谱等技术手段，让数据发挥商业价值。--负责数据科学相关商业智能产品的战略探索；--带领团队，发表科学论文，提升公司算法实力。-深入掌握数据挖掘和机器学习/计算机视觉等某领域应用，三年以上数据科学领域经验；-良好的沟通、团队合作能力；计算机、数学相关专业或有较强机器学习理论和实践背景；-对把算法结果应用到业务场景产生商业价值具备较佳热情；-对电影/视频娱乐业有浓厚兴趣，有相关领域经验优先；娱乐数据服务商
本科,3-5年,,12,20K,中级数据库工程师,北京,"作内容：1.高质量完成项目组安排的需求开发以及单元测试等任务；2.积极参与需求分析过程，能从系统角度有效分析业务需求；3.有效参与新系统的系统、数据仓库设计工作,对数据仓库整体架构提出建议；4. 负责对数据库搭建部署、调优和管理；5.负责数据库的维护，快速、有效解决工作中各种突发问题（如生产问题响应与排查）。1、计算机相关专业，3年以上数据库开发经验；2、掌握Oracle、SQL等常用关系型数据库语句和存储过程等编写和数据库运维；3、熟悉关系数据库原理与设计, 有数据库优化及大数据处理相关经验优先；4、熟悉PostgreSQL/GreenPlum，了解ETL工具，如Kettle、Informatica、Talend等"
学历不限,3-5年,股票期权带薪年假扁平管理地铁周边五险一金美女多领导好年底双薪股票期权带薪年假扁平管理地铁周边五险一金美女多领导好年底双薪股票期权带薪年假扁平管理地铁周边五险一金美女多领导好年底双薪,50,80K,数据库产品研发总监,北京,"AntsDB - 世界首个高并发、低延时的事务型数据库虚拟化技术。AntsDB 独有的数据库虚拟化技术，首次真正实现计算与存储的完全分离，赋能 Hadoop，成为高并发、低延时的运营数据库系统。AntsDB 1.0版本于2017年12月发布后，在数据库以及Hadoop开源社区引起了一定的反响。目前已经通过电信级核心业务系统的验证，成为少数能够承载世界顶级业务负载能力的数据库软件。AntsDB目前已经获得一线知名风投机构的投资，目前正在全国火热招聘研发队伍中。加入AntsDB，拥有闪耀科技人生。== 岗位职责 ==- 汇报给创始人、CTO- 领导AntsDB的日常研发工作。== 必要技能 ==精通 SQL 和数据库技术精通 Java，高性能编程，并行计算5 年以上 Java 编程经验，最好有 c/c++ 背景熟悉数据库的实现原理，常用数据结构和算法，有数据库产品开发经验== 非必要技能 ==熟悉大数据技术的使用和操作 Hadoop, HBase, Spark, SparkSQL熟悉 linux 操作系统下的排错，性能监控有 SQL 解析器执行器方面的经验"
大专,经验不限,五险一金员工旅游节日福利零食下午茶年底十三薪五险一金员工旅游节日福利零食下午茶年底十三薪不打卡免费零食地铁周边领导nice,8,12K,数据库工程师(SQL Server),北京,"工作内容：1.负责数据库的搭建设计。2.负责数据库运行效果分析和性能优化。3.负责完成数据库部分的系统设计，编写视图、存储过程、函数、触发器。4.负责数据库代码的检查审核。5.负责数据管理工作，包括元数据管理、指标体系、数据质量分析、跟踪时时效果等。6.负责数据迁移，数据备份、恢复、数据库性能调优及数据库的扩展工作。1.本科以上学历，计算机专业优先2.精通关系数据库原理，熟悉数据库系统的规划、安装、配置、性能调试。3.精通SQL Server数据库，有SSRS,SSIS,SSAS使用经验。4.会Power BI报表服务优先北京敏捷艾科数据技术有限公司创立于2015年，是微软官方合作伙伴。我们为客户提供专业的Power BI商业智能（BI )解决方案，及相关的培训、咨询、建模、开发、可视化等服务。公司地址：北京市朝阳区望京博雅国际中心B座536 (邮编：100000) 地图公司官网：http://www.agileex.com"
本科,3-5年,,15,22K,数据分析师,北京,1.负责数据处理、分析、可视化等，撰写或配合撰写数据分析报告，完成项目交付；2.负责深入理解“智慧足迹”产品的功能、优势，向客户展示，以支持销售团队；3.根据销售经理整理的业务需求，与客户进一步沟通，形成产品/技术需求；4.通过分析从数据中提取信息，提出行业相关的数据洞察；5.负责根据项目经验向产品经理提出产品改进建议。1.了解关系型数据库，有SQL使用经验；2.了解空间数据和空间分析的基本原理GIS；3.具有较强的学习能力，逻辑性强，能够承受较大压力；4.掌握多种数据挖掘技术，熟悉Python、Hive者优先；5.有城市规划、交通规划等工作或学习背景，具备建模、分析等能力者优先。6.接触了解过大数据开发语言为加分项。
本科,3-5年,五险一金补充医疗保险年终奖股票期权带薪年假零食下午茶五险一金补充医疗保险年终奖股票期权带薪年假零食下午茶股票期权带薪年假年度旅游不打卡扁平管理,20,35K,高级数据库工程师,北京,1.负责TDengine项目实施、技术支持，包括配置管理、升级、扩容、数据迁移等工作2. 与客户进行需求沟通、技术培训，介绍 TDengine的原理、使用方式、最佳实践等3. 在线上各种技术论坛，针对时序数据库的技术问题进行互动1. 3年以上 DBA 相关工作经验（MySQL、Oracle、PostgreSQL 等），或者3年以上大数据工作经验（Hadoop、Hbase、Mongodb 等）2. 精通一种数据库的（如 MySQL，Cassandra ）配置、备份、优化、监控、管理3. 熟悉 Linux 操作系统，如常用命令、文件系统、系统配置等4. 熟悉至少一种脚本语言（如Python），能编写简单的Java，C/C++程序5. 丰富的项目管理、实施经验，能够独立完成数据库架构设计及 POC 文档编写6. 热爱技术，爱学习、钻研新知识，能流畅阅读英文技术文档7. 高度的责任心、良好的沟通技巧和团队合作精神研发团队：廖浩均  中国科学院计算所空间信息技术处理实验室博士，主攻多维数据索引与空间数据分析及处理技术。关胜亮  中国科学院计算所硕士，曾任国家电网南瑞集团技术总监，负责分布式实时数据采集及系统架构设计与研发程洪泽  美国密西根大学EE硕士，中国科大最高荣誉的郭沫若奖学金获得者。
本科,10年以上,五险一金带薪年假五险一金带薪年假带薪年假年度旅游年终分红美女如云领导nice公司氛围好,35,65K,数据科学家,北京,1、参与公司大数据建模项目，依据CRISP-DM标准建模流程，完成模型由需求到上线部署，以及模型实际应用后的参数调优；2、参与公司大数据产品设计，为数据产品的设计提供相应支持；3、参与模型理论设计论证讨论，在个人研究的垂直细分领域进行深入的建模研究工作；4、参与高校的学术研讨会或联合相关研究人员，发表数据建模相关研究成果；5、支撑公司战略核心产品的研发工作。1、博士学位，硕士学位；三年以上工作经验；计算机，数学，物理，统计学，通信，认知学或相关专业；2、具有较强的沟通能力和资源整合能力；3、热衷于技术创新，适应在高强度的工作压力，善于运用资源拿到结果；4、对数据挖掘建模兴趣浓厚，志在成为数据科学家；5、有机器学习和推荐，分布式计算系统， 大规模优化算法，熟悉贝叶斯模型和Graphical models等经验人士优先考虑。创建于2010年的九次方大数据（JUSFOUN BIGDATA)是中国最领先的大数据资产运营商，目前在职员工1500多人，是中国第一家提出数据资产运营的公司，同时也是贵阳大数据交易所的创始者。公司坚持以“贡献中国数据智慧，释放全球数据价值”为使命，通过“三轴一平台一中心”战略，构建完整的大数据生态链。
本科,1-3年,,6,8K,初级数据库工程师,北京,"工作内容：1.高质量完成项目组安排的需求开发以及单元测试等任务；2.积极参与需求分析过程，能从系统角度有效分析业务需求；3.有效参与新系统的系统、数据仓库设计工作,对数据仓库整体架构提出建议；4. 负责对数据库搭建部署、调优和管理；5.负责数据库的维护，快速、有效解决工作中各种突发问题（如生产问题响应与排查）。1、计算机相关专业，1年以上数据库开发经验；2、掌握Oracle、SQL等常用关系型数据库语句和存储过程等编写和数据库运维；3、熟悉关系数据库原理与设计, 有数据库优化及大数据处理相关经验优先；4、熟悉PostgreSQL/GreenPlum，了解ETL工具，如Kettle、Informatica、Talend等。"
